train dataset: size=1
val dataset: size=1
model_G: #params=113.6M
epoch 123/300, lr_G=0.000010, loss0=0.0295, loss1=0.0283, 2.7s 5.9m/14.4m
epoch 124/300, lr_G=0.000010, loss0=0.0201, loss1=0.0139, 2.5s 6.0m/14.4m
epoch 125/300, lr_G=0.000010, loss0=0.1306, loss1=0.0919, 2.5s 6.0m/14.4m
epoch 126/300, lr_G=0.000010, loss0=0.1063, loss1=0.1336, 2.6s 6.1m/14.4m
epoch 127/300, lr_G=0.000010, loss0=0.0331, loss1=0.0320, 2.6s 6.1m/14.4m
epoch 128/300, lr_G=0.000010, loss0=0.0651, loss1=0.0683, 2.6s 6.1m/14.4m
epoch 129/300, lr_G=0.000010, loss0=0.0911, loss1=0.0899, 2.6s 6.2m/14.4m
epoch 130/300, lr_G=0.000010, loss0=0.0807, loss1=0.1300, val: psnr0=17.1717, val: psnr1=19.6589, 5.0s 6.3m/14.5m
epoch 131/300, lr_G=0.000010, loss0=0.0932, loss1=0.1056, 3.0s 6.3m/14.5m
epoch 132/300, lr_G=0.000010, loss0=0.0732, loss1=0.1298, 2.6s 6.4m/14.4m
epoch 133/300, lr_G=0.000010, loss0=0.0647, loss1=0.0849, 2.7s 6.4m/14.4m
epoch 134/300, lr_G=0.000010, loss0=0.0529, loss1=0.0658, 2.6s 6.4m/14.4m
epoch 135/300, lr_G=0.000010, loss0=0.0804, loss1=0.1004, 2.7s 6.5m/14.4m
epoch 136/300, lr_G=0.000010, loss0=0.0536, loss1=0.0575, 2.5s 6.5m/14.4m
epoch 137/300, lr_G=0.000010, loss0=0.0984, loss1=0.1127, 2.6s 6.6m/14.4m
epoch 138/300, lr_G=0.000010, loss0=0.0094, loss1=0.0090, 2.6s 6.6m/14.4m
epoch 139/300, lr_G=0.000010, loss0=0.0537, loss1=0.0548, 2.7s 6.7m/14.4m
epoch 140/300, lr_G=0.000010, loss0=0.0762, loss1=0.0879, val: psnr0=39.9061, val: psnr1=41.8148, 7.4s 6.8m/14.5m
epoch 141/300, lr_G=0.000010, loss0=0.0321, loss1=0.0183, 2.5s 6.8m/14.5m
epoch 142/300, lr_G=0.000010, loss0=0.0568, loss1=0.1218, 2.6s 6.9m/14.5m
epoch 143/300, lr_G=0.000010, loss0=0.0485, loss1=0.0987, 2.7s 6.9m/14.5m
epoch 144/300, lr_G=0.000010, loss0=0.0666, loss1=0.1034, 2.5s 7.0m/14.5m
epoch 145/300, lr_G=0.000010, loss0=0.0711, loss1=0.1019, 2.4s 7.0m/14.5m
epoch 146/300, lr_G=0.000010, loss0=0.0699, loss1=0.0723, 2.4s 7.0m/14.5m
epoch 147/300, lr_G=0.000010, loss0=0.1102, loss1=0.0737, 2.4s 7.1m/14.4m
epoch 148/300, lr_G=0.000010, loss0=0.0740, loss1=0.0816, 2.4s 7.1m/14.4m
epoch 149/300, lr_G=0.000010, loss0=0.0647, loss1=0.0907, 2.4s 7.2m/14.4m
epoch 150/300, lr_G=0.000010, loss0=0.0856, loss1=0.0996, val: psnr0=16.6979, val: psnr1=15.6853, 4.9s 7.2m/14.5m
epoch 151/300, lr_G=0.000010, loss0=0.0488, loss1=0.0519, 2.5s 7.3m/14.5m
epoch 152/300, lr_G=0.000010, loss0=0.0281, loss1=0.0259, 2.5s 7.3m/14.5m
epoch 153/300, lr_G=0.000010, loss0=0.0068, loss1=0.0074, 2.6s 7.4m/14.4m
epoch 154/300, lr_G=0.000010, loss0=0.0507, loss1=0.0790, 2.5s 7.4m/14.4m
epoch 155/300, lr_G=0.000010, loss0=0.0724, loss1=0.0988, 2.5s 7.5m/14.4m
epoch 156/300, lr_G=0.000010, loss0=0.0685, loss1=0.0960, 2.6s 7.5m/14.4m
epoch 157/300, lr_G=0.000010, loss0=0.0592, loss1=0.0784, 2.5s 7.5m/14.4m
epoch 158/300, lr_G=0.000010, loss0=0.0659, loss1=0.0989, 2.5s 7.6m/14.4m
epoch 159/300, lr_G=0.000010, loss0=0.0692, loss1=0.0765, 2.6s 7.6m/14.4m
epoch 160/300, lr_G=0.000010, loss0=0.0236, loss1=0.0169, val: psnr0=13.3525, val: psnr1=17.7187, 4.5s 7.7m/14.4m
epoch 161/300, lr_G=0.000010, loss0=0.0664, loss1=0.0865, 2.5s 7.7m/14.4m
epoch 162/300, lr_G=0.000010, loss0=0.0672, loss1=0.0763, 1.6s 7.8m/14.4m
epoch 163/300, lr_G=0.000010, loss0=0.0481, loss1=0.0585, 2.5s 7.8m/14.4m
epoch 164/300, lr_G=0.000010, loss0=0.0496, loss1=0.0786, 2.6s 7.9m/14.4m
epoch 165/300, lr_G=0.000010, loss0=0.0446, loss1=0.0482, 2.6s 7.9m/14.4m
epoch 166/300, lr_G=0.000010, loss0=0.0702, loss1=0.0642, 2.5s 7.9m/14.3m
epoch 167/300, lr_G=0.000010, loss0=0.0759, loss1=0.1101, 2.5s 8.0m/14.3m
epoch 168/300, lr_G=0.000010, loss0=0.0500, loss1=0.0597, 2.6s 8.0m/14.3m
epoch 169/300, lr_G=0.000010, loss0=0.0586, loss1=0.0962, 2.6s 8.1m/14.3m
epoch 170/300, lr_G=0.000010, loss0=0.0598, loss1=0.0812, val: psnr0=25.8903, val: psnr1=26.9072, 4.4s 8.1m/14.4m
epoch 171/300, lr_G=0.000010, loss0=0.0637, loss1=0.0655, 2.6s 8.2m/14.4m
epoch 172/300, lr_G=0.000010, loss0=0.0824, loss1=0.1066, 2.7s 8.2m/14.3m
epoch 173/300, lr_G=0.000010, loss0=0.0053, loss1=0.0058, 2.4s 8.3m/14.3m
epoch 174/300, lr_G=0.000010, loss0=0.0062, loss1=0.0062, 2.5s 8.3m/14.3m
epoch 175/300, lr_G=0.000010, loss0=0.0664, loss1=0.0780, 1.5s 8.3m/14.3m
epoch 176/300, lr_G=0.000010, loss0=0.0720, loss1=0.0931, 2.6s 8.4m/14.3m
epoch 177/300, lr_G=0.000010, loss0=0.0621, loss1=0.0698, 2.5s 8.4m/14.3m
epoch 178/300, lr_G=0.000010, loss0=0.0589, loss1=0.0712, 2.6s 8.5m/14.3m
epoch 179/300, lr_G=0.000010, loss0=0.0615, loss1=0.0815, 2.6s 8.5m/14.3m
epoch 180/300, lr_G=0.000010, loss0=0.0678, loss1=0.0952, val: psnr0=14.4749, val: psnr1=17.0513, 4.5s 8.6m/14.3m
epoch 181/300, lr_G=0.000010, loss0=0.0399, loss1=0.0540, 2.6s 8.6m/14.3m
epoch 182/300, lr_G=0.000010, loss0=0.0715, loss1=0.0946, 2.7s 8.7m/14.3m
epoch 183/300, lr_G=0.000010, loss0=0.0563, loss1=0.0663, 3.9s 8.7m/14.3m
